弹幕,时间
结合图形学来看，会明了很多,2016-10-21 19:07:03
在B站学数学,2016-10-21 19:07:06
看的人比弹幕还多系列,2016-10-21 19:07:06
我在B站学数学系列,2016-10-21 19:07:08
上学期挂了,2016-10-21 19:07:09
看图形学看得一脸蒙蔽的我果断收藏了,2016-10-21 19:07:11
软件狗急需,2016-10-21 19:07:14
我居然在B站学数学2333333,2016-10-21 19:07:22
进来献上膝盖就走。。,2016-10-21 19:07:36
这个系列的视频太好了，我很喜欢,2016-10-21 19:07:37
我又想起了被组合数学所支配的恐惧,2016-10-21 19:07:53
有同感,2016-10-21 19:07:57
engineer drawing,2016-10-21 20:08:00
沉迷学习 无法自拔,2016-10-21 20:08:07
我告诉你们，我可是上过小学的人,2016-10-21 20:08:17
觉得考过的你不是一个人,2016-10-21 20:08:18
宇哥讲的是向量,2016-10-21 20:08:24
正好我在学,2016-10-21 20:08:31
泰勒级数233,2016-10-21 20:08:35
明明应该大学里学过的，但看得一脸懵B……,2016-10-21 21:09:30
麦克劳林是泰勒的一种特殊形式,2016-10-21 21:09:34
我竟然在b站学数学,2016-10-21 21:09:52
行列式可以简单理解为N维向量的所占用的体积,2016-10-21 22:10:13
泰勒展开式。。。,2016-10-21 22:10:14
看了3分钟，还不知道在看什么。。,2016-10-22 00:12:24
什么时候做个场论,2016-10-22 10:10:07
泰勒展开,2016-10-22 21:09:01
对对对就是这样,2016-10-22 22:10:15
九门课一起补的红红火火恍恍惚惚哈哈哈,2016-10-22 22:10:22
不能同意更多！！,2016-10-23 09:09:25
喵喵喵？？？,2016-10-24 21:09:39
厉害了word哥！,2016-10-24 21:09:54
凌晨3点还有8个人看。。。,2016-10-25 03:03:27
厉害，不可多得的好视频,2016-10-25 10:10:06
张宇讲的其实不错,2016-10-25 19:07:19
向量化为空间的基，行列式变成了空间的张量,2016-10-25 19:07:23
看完来投币感谢！！,2016-10-25 21:09:13
上面的蓝字同是学张宇数学的吧，哈哈,2016-10-25 22:10:08
认真学习的兄弟可以考虑关掉（不发）弹幕,2016-10-26 00:12:26
他在介绍他视频讲啥……,2016-10-26 00:12:27
这一刻厦大统计学子又一次想起了被数分高代支配的恐惧,2016-10-26 17:05:57
正好现代挂科了，下学期重修,2016-10-26 23:11:49
泰勒,2016-10-29 12:12:30
赞，确实这样,2016-11-05 11:11:35
我在b站学习,2016-11-07 13:01:20
同不知道在讲什么,2016-11-09 22:10:36
在我看来 这不是X这是狗 狗减sin狗,2016-11-12 01:01:54
sin看完相声泰勒了 哈哈,2016-11-12 23:11:23
高中党飘过……,2016-11-13 00:12:11
泪目,2016-11-13 17:05:28
讲得太快了，我太笨,2016-11-14 11:11:07
小学的你站住，小学就有线代了？                                 ,2016-11-14 18:06:06
hhh........,2016-11-14 20:08:41
³,2016-11-15 13:01:39
我现在只知道线性切割枪,2016-11-15 15:03:09
张宇的,2016-11-17 22:10:13
这是麦克劳林级数吧……,2016-11-18 00:12:51
学了抽代泛函拓扑后，感觉几何意义不是那么重要了,2016-11-19 01:01:52
我居然在B站上看线性代数！！！！！,2016-11-19 18:06:00
在量子力学的矩阵解法中有广泛的应用,2016-11-19 21:09:03
说的是我,2016-11-20 17:05:55
我要这硬币就是来投up主的,2016-11-22 19:07:43
沉迷学习无法自拔系列,2016-11-25 16:04:25
我竟然在B站看线代 。。,2016-12-06 00:12:19
考研党默默看着,2016-12-07 12:12:25
承包我的同事,2016-12-07 12:12:26
对啊，没错，我以为只有我一个人对线性代数的理解很肤浅,2016-12-10 22:10:18
朋友，你要相信,2016-12-11 18:06:16
哪怕是看这种科普类视频,2016-12-11 18:06:16
我就是这样，CS研究中遇到了理解不深的问题，重新来学,2016-12-11 20:08:37
我居然在B站学习,2016-12-13 15:03:40
幂级数,2016-12-15 17:05:28
前面加一。。。又看视频又看字幕真的好累。。。,2016-12-18 15:03:46
这位教授好像以前也出过一本书，就是讲述他对线性代数学习的这种思想,2016-12-20 19:07:06
这不是计算器所用的公式（收敛太慢），知乎有对应的答案，值得参考。,2016-12-21 15:03:28
字幕滑动赞,2016-12-31 12:12:03
明天就要考了//,2017-01-04 12:12:47
明天考线代的路过,2017-01-04 20:08:58
左下动画好可爱,2017-01-05 10:10:05
英语没学好，听不懂,2017-01-05 17:05:47
晚上考线代 复习完两遍来看视频 ,2017-01-06 11:11:33
机电路过....,2017-01-07 11:11:28
麦克劳林你好,2017-01-07 11:11:28
翻译满分!!!,2017-01-07 18:06:53
看到这个展开式我就胃疼,2017-01-10 14:02:05
整的很高大上，突然又想学数学了。,2017-01-10 20:08:41
刚刚告别线代,2017-01-19 14:02:29
泰勒展开。。,2017-01-22 14:02:54
我大二会计专业看不懂啊,2017-01-23 20:08:09
没错这就是我,2017-01-29 13:01:28
当时上线代翘课，后来自己看最优化时候恶补线代 直要吐,2017-01-29 13:01:39
我喜欢这个作者！还有up主！,2017-01-30 14:02:36
确实不懂线代的实际意义,2017-02-02 17:05:58
教线代不讲几何含义的老师想来也不会是什么好老师= =,2017-02-11 00:12:15
相见恨晚,2017-02-14 19:07:21
感谢UP主～,2017-02-14 20:08:03
真的线代概率高数都是挂科了和考研的人才有决心去看的,2017-02-15 18:06:46
sin狗,2017-02-15 18:06:46
三战的来看了,2017-02-15 18:06:50
大哉线代，感觉当年白学了,2017-02-17 22:10:28
毕业10年了...现在工作中一直在想这些问题,2017-02-18 21:09:02
感谢字幕君,2017-02-19 11:11:38
我：⊙_⊙,2017-02-20 13:01:46
我在B站学数学……,2017-02-20 21:09:57
真心棒啊，初学线代快哭了(⑉°з°)-♡,2017-02-26 12:12:46
数学系飘过,2017-03-05 00:12:17
本科说学过的，你们只是学计算方法罢了，没有几个老师会教为什么的,2017-03-07 19:07:33
还有jordan 标准型啊,2017-03-09 09:09:47
文科生有吗？？？,2017-03-10 17:05:33
研一回来复习,2017-03-11 03:03:13
相见恨晚,2017-03-11 12:12:09
亦可赛艇,2017-03-11 22:10:09
初次学习我根本无法理解线代，然后一向数学很好的我挂科了,2017-03-13 01:01:36
如果只为了学线代这门课，什么理解方式都不过分。,2017-03-18 00:12:15
但如果你以后打算做理论研究，建议还是先独立啃完一遍书,2017-03-18 00:12:17
第一遍就靠“直观”学习基础的话，以后再想学更晦涩的理论会更难,2017-03-18 00:12:19
看不懂 哭…,2017-03-22 20:08:45
二刷,2017-03-26 11:11:31
求bgm啊啊,2017-04-04 16:04:21
我就投2硬币，因为就允许投2个,2017-04-09 22:10:20
有人码,2017-04-16 20:08:19
我本来上不、,2017-04-18 17:05:03
那个张宇线代19讲的。。。多出来的10讲哪来的,2017-04-18 17:05:04
线代已经完全听不懂了，，找这个救命,2017-04-18 20:08:28
"我就是因为没有理解,所以没学好",2017-04-22 11:11:18
不同意黄字说的，是否啃书学习与是否靠“直观”学习基础并不矛盾,2017-04-24 08:08:26
好东西！,2017-04-27 22:10:03
高中内容也没错，首先这是基础部分,2017-04-30 00:12:31
其次中国高中爱超纲，还有一些竞赛生自招生,2017-04-30 00:12:31
现在只有我一个人，五一的夜里还在看线代.....感到一丝丝孤独,2017-04-30 01:01:19
97分路过,2017-05-01 20:08:08
大学都毕业好多年了，回来看这个，感觉当年上的是假大学,2017-05-03 21:09:35
获得成就：在B站学数学,2017-05-04 22:10:52
考研党来了,2017-05-04 23:11:44
泰勒展开式，我就记得张宇狗理论,2017-05-04 23:11:47
能不能赶紧讲数学啊。。。。。,2017-05-06 10:10:25
这几个问题真的是我一直想问的，太感动了!！,2017-05-06 12:12:54
哦哦哦出合集了,2017-05-06 21:09:51
对的，张宇说线代就是向量,2017-05-08 12:12:48
九门功课的够了,2017-05-09 21:09:08
考研党表示最恨的就是秩！,2017-05-09 23:11:33
上过一部分Mit的线代 所以前面简单的概念还是都理解的,2017-05-11 12:12:18
九门功课同时补的。。是哪九门,2017-05-14 09:09:16
学渣收藏加2,2017-05-15 19:07:33
这就是张宇教学的思想啊,2017-05-17 15:03:38
还是不懂,2017-05-19 19:07:01
张宇昨天还来我们学校讲课呢，,2017-05-21 01:01:19
张宇大胖子现在瘦了不少。,2017-05-21 01:01:19
九门功课同时补，妈妈再也不用担心我的学习,2017-05-23 09:09:33
我也挺喜欢的,2017-05-28 12:12:08
这不是泰勒展开式，而是泰勒幂级数,2017-05-28 23:11:53
哈哈九门功课同步学 笑抽我了23333,2017-05-29 14:02:03
黄字正解,2017-06-02 03:03:24
在下九门功课同时补,2017-06-04 08:08:41
那按照这个公式的话，那不是无穷个有理数相加是无理数了吗,2017-06-08 11:11:45
期望出一期概率论,2017-06-11 17:05:07
但是学完了再看这个很好,2017-06-14 18:06:02
简直说出了我的心声,2017-06-14 22:10:21
我在B站学数学系列,2017-06-16 17:05:59
感谢UP主搬运,2017-06-29 16:04:33
233333333333,2017-07-03 09:09:47
貌似本质是方程组？？,2017-07-08 10:10:11
居然来B站学习线性代数,2017-07-10 13:01:22
明天考线代,2017-07-11 22:10:11
线代复习的想哭,2017-07-12 16:04:31
准研一回来复习,2017-07-13 09:09:11
我还是相信李永乐,2017-07-13 09:09:15
不同意黄字，抽象也源于具体，,2017-07-13 16:04:44
不能因为想研究文言文就否认初等阅读的意义,2017-07-13 16:04:44
感谢up主，双手已经举起来,2017-07-13 23:11:19
泰勒.斯威夫特公式，哈哈^_^,2017-07-13 23:11:25
居然有42个人和我一块看,2017-07-13 23:11:30
wow好棒,2017-07-15 19:07:36
狗减sin狗，杨超老师也讲过,2017-07-27 22:34:06
终于可以发啦,2017-07-30 11:36:25
加油,2017-07-31 12:00:06
我又来了,2017-08-06 19:51:40
自报自己初高中的 没人关心你哪来的好吗？⬇️,2017-08-06 23:50:27
Taylor呀,2017-08-13 01:20:58
特征值就是矩阵的秩吗,2017-08-18 01:13:55
这个视频是真好,2017-08-20 14:35:49
是的是的有道理,2017-08-22 09:24:43
音乐好评,2017-08-23 18:19:45
泰勒展开？,2017-08-27 08:31:34
N维图形的体积,2017-09-01 11:24:11
宇神独家发布最爱的小狗,2017-09-01 20:16:02
恭喜你发现一部神作 ,2017-09-02 11:23:33
老师给的网站,2017-09-04 11:03:32
几何好数学渣的渣渣仿佛看到了希望的曙光,2017-09-06 22:38:23
计科的路过,2017-09-10 20:57:51
还来得及，大学考研用,2017-09-11 19:27:06
考研党看不懂直接推放弃考研,2017-09-11 19:30:19
宇哥的狗深入我心,2017-09-11 19:34:49
神作必頂,2017-09-25 12:54:25
泰勒展开。。,2017-09-29 19:28:42
有点鸡冻,2017-09-29 20:55:30
←看分P名，这个是序言。想看正题的去2P吧,2017-10-05 08:48:09
第一次决定一次看完两个多小时的数学课,2017-10-16 10:49:02
学到结构的振动，终于知道某些定义的用处了,2017-10-19 19:46:03
矩阵位移法舒服啊,2017-10-19 19:47:09
无处不在的数学！,2017-10-24 00:33:29
有25个朋友在看,2017-10-24 10:55:42
对对对！,2017-10-30 19:46:31
这个必须顶,2017-11-07 10:13:56
知乎观光团,2017-11-11 11:19:26
确实打开了新的天地,2017-11-16 09:05:59
