lat,lng,星级,餐厅名称
30.3272023787,119.4548569254,0%,斐文野奢酒店(天目山上客堂店)
30.2483046338,120.1749771329,100%,福缘居酒楼
30.2346000671,120.1262969971,82%,茶人村-百年经典演绎杭帮味道
30.2782975633,120.1682714485,90%,外婆家●杭儿风(杭州大厦B座店)
29.6142521436,119.0457919282,70%,绿城千岛湖喜来登度假酒店采悦轩中餐厅
30.224943161,120.1336719419,100%,飞鸟集
30.2252883911,120.1364469001,90%,桂语山房高级餐厅
30.1762274245,120.1605282521,80%,垃圾街美食一条街
30.2549858093,120.1680823715,0%,雷峰塔
30.2498493195,120.1713854846,0%,美食杭州
29.5868826049,119.048621315,60%,千岛湖渔村
30.2691748109,120.1697761194,80%,天香楼大酒店(天香楼大酒店)
30.2433185577,120.1408594769,86%,西湖国宾馆紫薇厅
30.2566496931,120.183244754,100%,奎元馆
30.1826543493,120.1480649892,80%,楼外楼
30.2579655308,120.140844994,96%,咬不得高祖生煎(岳庙店)
30.259976,120.22157,0%,杭州柏悦酒店·悦轩中餐厅
30.2810066076,120.1564182574,90%,外婆家(杭州马塍店)
30.213788446,120.1514572891,60%,杭州味道
29.8037457045,119.7057069828,70%,桐庐乡之味
30.2411556244,120.1805853454,84%,方老大馄饨(抚宁巷店)
30.245548848,120.1312113198,70%,西湖边小吃店
30.139937,120.228646,0%,杭州开元森泊乐园度假酒店雨林餐厅
30.2402827201,120.1769740727,90%,孙奶奶葱包烩
30.2797608853,119.9409057535,0%,大鹿岛
30.2264133985,120.1358033542,0%,过客山谷烤吧年会团建
30.2485983798,120.172685689,0%,饮食餐厅
30.04725173,119.1709286865,0%,温泉酒店
30.2489139336,120.189313115,100%,舟山朱家尖东沙
30.283391,120.21333,0%,拾二合(杭州创意设计中心店)
30.3032951355,120.1612629691,80%,老头儿油爆虾(古水店)
30.2737522125,120.1672504656,86%,老头儿油爆虾（武林店）
30.2773582529,120.1645562717,70%,甘其食(武林路店)
30.2577863891,120.1705199633,84%,1921湖景餐厅(1921湖景餐厅店)
30.3272114616,120.1360030564,100%,mamala 西餐厅
30.2137012482,120.1604452605,80%,德明饭店(八卦新村店)
30.241016,120.163173,0%,小筑里
29.660399,119.716772,0%,天空之城
29.613932,119.045402,0%,千岛湖Donut town
29.9074837724,119.9555975724,0%,杭州龙门驿雷迪森庄园
30.3041477203,120.162822408,0%,外卖小店
30.1856002808,120.2749023438,0%,开元名都大酒店(萧山店)
30.2488517761,120.2227206189,0%,火锅小镇
30.3033089589,120.1745759641,100%,海底捞火锅(绍兴路店)
30.2594331337,120.1730777553,100%,友好饭店西湖旋转全湖景餐厅
30.241276,120.182645,0%,方老大面
30.17662684,120.2752030108,90%,锅内锅外(银隆店)
30.1804929459,120.146380104,70%,杭州餐饮
30.3020595395,120.1642394921,90%,德泓面馆
30.186015094,120.1556962086,70%,杭州福朋喜来登酒店品轩中餐厅
29.610543,119.041555,70%,鱼宴馆·农家菜(千岛湖总店)
30.261122,120.059302,0%,木守西溪溪隐餐厅
30.253111863,120.1671550509,80%,外婆家(西湖天地南山路店)
29.9233606025,119.525431484,0%,红灯笼外婆家
30.3059731179,120.1525816682,0%,契弗利酒店丽格全日餐厅
30.0041430992,120.2916623444,0%,杭州天域·开元酒店(仙那都西餐厅)
30.169525039,120.2520383485,0%,第一世界大酒店丛林餐厅
29.5990985036,119.156839071,0%,几荷-临湖而憩
30.2356702497,120.1400211287,100%,La Villa Restaurant
29.5996189117,119.015129074,0%,千岛湖梅地亚君澜度假酒店(文广轩中餐厅)
29.5539741516,119.1288053043,0%,千岛湖洲际酒店中餐厅
30.268239975,120.1655556628,0%,唛歌量贩KTV自助餐
30.2399520874,120.1414317251,0%,西湖国宾馆·大堂吧
30.259976,120.22157,100%,杭州柏悦酒店·潮餐厅&酒吧
30.2456016541,120.1775883726,84%,御乐堂·戏茶食驿
30.3062926133,120.1145261813,80%,新白鹿餐厅(城西银泰城店)
29.8065,119.7019,0%,浙江桐庐
29.8676792692,119.8359632519,80%,荻浦人家
30.31046,120.158199,0%,海底捞火锅(水晶城购物中心店)
30.2657683869,120.1582127045,80%,酒旗风(西湖断桥店)
30.2635015738,120.175591699,90%,娃哈哈同乐大酒店
30.2511510939,120.1303169716,74%,花房餐厅
30.1775932312,120.2742848409,100%,新白鹿餐厅(萧山银隆店)
30.2527070986,120.0548811895,00%,外婆家(西溪印象城店)
30.282071167,120.1123513268,60%,顺旺基(竞舟路店)
30.2328907486,119.7170652735,70%,可莎蜜儿(城中店)
30.2360697209,120.3511967929,70%,烧烤园
30.4871871834,120.1964809522,70%,塘栖水乡酒楼
30.2352390289,120.1392080696,80%,解香楼
30.2616634369,120.1676380454,100%,天天旺酒楼
30.3768095935,120.0260329134,80%,良渚文化村食街
30.3526435491,119.4633775666,70%,天目山农家乐
30.2299418326,120.2037021714,100%,杭州尊蓝钱江豪华精选酒店
29.631322,119.069596,0%,千岛湖民之宿
30.302153,120.159434,0%,杭州小吃一条街
30.279738,120.176443,100%,杭州酒家
30.259336,120.170521,0%,Foamy Foamy(湖滨银泰in77店)
30.2545547842,120.2192950936,0%,多伦多海鲜自助(来福士店)
29.6211506716,119.0444927957,0%,千岛湖开元度假村.凝香苑
30.2718630615,120.1928050674,0%,杭州小吃
30.3195082215,120.150459381,0%,老头儿油爆虾
29.6431283888,119.0388147998,0%,温馨岛蝶来度假酒店中餐厅
30.1283690313,120.1942858555,0%,杭州世外桃源君澜度假酒店中餐厅
30.2556322824,120.18492909,0%,素食堂(解放路店)
30.24964475,120.1716684249,0%,外婆家(西湖银泰城店)
30.2572602545,120.0605973807,100%,西溪花间堂茴香餐厅
29.5983528649,119.0447001665,00%,老乡农庄
30.2462755755,120.1779822873,80%,光复路小吃街
30.2880904331,120.182814487,80%,鼎燕餐厅
30.2691343714,120.169806215,80%,浙江饭店名人24小时餐厅
30.1848643048,120.268625169,60%,帝豪食府
30.3252171029,120.35264544,70%,香港岛餐厅
30.2670648093,120.1586272884,0%,味道杭州虾客码头
30.2701623945,120.1805047969,0%,杨国福麻辣烫(凤起路店)
30.2704630134,120.1804047316,0%,米宝宝快餐(凤起店)
30.1670818329,120.2744968554,0%,豪尚豪牛排馆(萧山新世纪广场店)
30.2559423644,120.1875006098,80%,新丰小吃(解放店)
30.26052,120.170042,60%,外婆家(湖滨银泰in77C区店)
30.2566573195,120.1713067512,0%,新白鹿餐厅(湖滨银泰店)
30.2032665519,120.1402169724,0%,叶马茶楼(六和塔店)
30.3157392467,120.3504299025,80%,猫迷咖啡(猫咖啡馆)
30.2461991386,120.174513725,60%,老杭州滋味
30.321143,120.100598,0%,茶确幸(天亿大厦店)
30.223425,120.22658,0%,希尔顿酒店
30.2760889657,120.176998968,100%,外婆家(杭州杭报店)
30.2410743857,120.4437516159,88%,萧山机场咖啡厅
30.2608086582,120.1371364621,100%,老船长酒吧
30.2755449428,120.165339683,70%,浙江特产(武林店)
30.2765083313,120.1473536389,100%,金橘餐厅(杭大店)
30.3039606468,120.1532869698,100%,妙醍醐素食自助餐馆(香积寺店)
30.3041438738,120.3941910066,70%,多山海鲜自助火锅
