lat,lng,星级,餐厅名称
30.2486779667,120.1724028678,92.0,新白鹿餐厅(西湖银泰店)
30.2378839802,120.17677131299999,88.0,南宋御街中华美食夜市
30.246309000000004,120.17412,94.0,高银美食街
30.2583827972,120.17008328610001,66.0,知味观·糕点(湖滨1店)
30.256471160100002,120.1471674948,68.0,楼外楼(孤山路店)
30.2455526796,120.13031035459998,90.0,弄堂里(龙井路店)
30.2575321198,120.1704617008,88.0,杭州酒家
30.2639198303,120.1708720547,84.0,新丰小吃(庆春店)
29.605715999999997,119.03400900000001,100.0,千岛湖鱼街
30.2566169613,120.17685471850001,82.0,奎元馆(解放路总店)
30.246178055399998,120.17768155530001,90.0,咬不得高祖生煎(高银街店)
30.2564641973,120.1703703216,84.0,绿茶(湖滨店)
30.2575817108,120.13407082040001,92.0,西子湖四季酒店·金沙厅
30.259529113800003,120.1709749348,80.0,弄堂里（湖滨银泰店）
30.298556,120.10868300000001,80.0,竞舟路美食街
30.2372760773,120.14270911770001,82.0,知味观·味庄(杨公堤店)
29.6100101471,119.05045443629999,86.0,千岛湖鱼味馆(千岛湖店)
30.267604814200002,120.166037845,84.0,新白鹿餐厅(龙游路店)
30.246301651,120.177144605,92.0,河坊街特色小吃
29.6095621917,119.0838147626,90.0,千岛湖滨江希尔顿度假酒店BBQ自助餐
30.2463569641,120.1214942748,90.0,旅马餐厅(灵隐店)
30.2459426284,120.18409024889999,92.0,老头儿油爆虾(姚园寺店)
30.244238,120.19903500000001,80.0,近江海鲜美食街
30.2604808807,120.16846476129999,84.0,杭州君悦酒店·湖滨28中餐厅
29.611651181,119.04479267110001,100.0,千岛湖岛外新岛酒楼
30.271314171100002,120.0970164325,100.0,外婆家(西溪天堂店)
30.245923996,120.1772629176,80.0,清河小吃
30.267408000000003,120.15923000000001,80.0,保俶路美食街
30.270844785,120.18770942969999,70.0,李记酥鱼(凤起农贸市场店)
29.606456092600002,119.03201835760001,90.0,湖外湖(千岛湖大排档店)
29.609189843699998,119.05790872690001,76.0,秀水人家食府
30.2458570044,120.17221110370001,70.0,知味观(吴山广场店)
30.2819284773,120.1092621187,80.0,知味观(文苑店)
30.2798614502,120.1675131367,70.0,外婆家.第二乐章(杭州大厦店)
30.2369766235,120.1291962367,86.0,绿茶(龙井路店)
30.2641579095,120.13002640389999,88.0,朴墅餐厅(青芝坞店)
30.2232837677,120.14150847040001,86.0,新榆园(虎跑店)
30.274855288,120.13093103700001,80.0,浙大留学生食堂
30.272095,120.17008799999999,80.0,百井坊巷美食街
