电影名称,评价人数,豆瓣评分
小萝莉的猴神大叔,274937,8.5
无耻混蛋,296382,8.5
一次别离,169256,8.7
追随,109145,8.9
再次出发之纽约遇见你,247399,8.5
釜山行,571407,8.4
血钻,198320,8.6
彗星来的那一夜,279169,8.5
新世界,152771,8.7
城市之光,65738,9.3
东京物语,73526,9.2
2001太空漫游,151045,8.7
撞车,220327,8.6
绿里奇迹,146691,8.7
梦之安魂曲,145556,8.7
疯狂的麦克斯4：狂暴之路,299489,8.6
聚焦,173880,8.8
E.T. 外星人,212788,8.6
黑鹰坠落,170985,8.6
这个男人来自地球,246375,8.5
末路狂花,138910,8.7
遗愿清单,193333,8.6
发条橙,239303,8.5
变脸,274163,8.4
勇闯夺命岛,183290,8.6
国王的演讲,438382,8.4
我爱你,85406,9.0
千钧一发,132591,8.7
黄金三镖客,71585,9.1
非常嫌疑犯,164531,8.6
秒速5厘米,416114,8.3
驴得水,508342,8.3
哈利·波特与密室,282734,8.4
哈利·波特与阿兹卡班的囚徒,263624,8.5
